dataset	estimator	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories	test_accuracy	test_accuracy_rank	test_accuracy_victories	test_f1_macro	test_f1_macro_rank	test_f1_macro_victories	test_f1_micro	test_f1_micro_rank	test_f1_micro_victories	test_f1_samples	test_f1_samples_rank	test_f1_samples_victories	test_f1_weighted	test_f1_weighted_rank	test_f1_weighted_victories	test_jaccard_macro	test_jaccard_macro_rank	test_jaccard_macro_victories	test_jaccard_micro	test_jaccard_micro_rank	test_jaccard_micro_victories	test_jaccard_samples	test_jaccard_samples_rank	test_jaccard_samples_victories	test_jaccard_weighted	test_jaccard_weighted_rank	test_jaccard_weighted_victories	test_precision_macro	test_precision_macro_rank	test_precision_macro_victories	test_precision_micro	test_precision_micro_rank	test_precision_micro_victories	test_precision_samples	test_precision_samples_rank	test_precision_samples_victories	test_precision_weighted	test_precision_weighted_rank	test_precision_weighted_victories	test_recall_macro	test_recall_macro_rank	test_recall_macro_victories	test_recall_micro	test_recall_micro_rank	test_recall_micro_victories	test_recall_samples	test_recall_samples_rank	test_recall_samples_victories	test_recall_weighted	test_recall_weighted_rank	test_recall_weighted_victories
emotions	embedding_proba__1	6.07 (0.4)	0.1 (0.0)	0.0 (0.0)	5.28 (0.41)	0.1 (0.0)	0.0 (0.0)	0.78 (0.03)	0.1 (0.0)	0.0 (0.0)	0.32 (0.06)	0.48 (0.35)	0.0 (0.0)	0.66 (0.04)	0.6 (0.34)	0.2 (0.45)	0.69 (0.04)	0.54 (0.41)	0.0 (0.0)	0.63 (0.04)	0.54 (0.36)	0.0 (0.0)	0.67 (0.04)	0.56 (0.36)	0.2 (0.45)	0.51 (0.04)	0.58 (0.31)	0.0 (0.0)	0.52 (0.04)	0.54 (0.41)	0.0 (0.0)	0.56 (0.04)	0.52 (0.36)	0.0 (0.0)	0.52 (0.04)	0.52 (0.36)	0.0 (0.0)	0.76 (0.04)	0.56 (0.27)	0.0 (0.0)	0.75 (0.04)	0.52 (0.33)	0.0 (0.0)	0.69 (0.05)	0.63 (0.35)	0.2 (0.45)	0.75 (0.04)	0.56 (0.29)	0.0 (0.0)	0.62 (0.03)	0.54 (0.36)	0.0 (0.0)	0.63 (0.03)	0.52 (0.34)	0.0 (0.0)	0.63 (0.03)	0.6 (0.34)	0.0 (0.0)	0.63 (0.03)	0.52 (0.34)	0.0 (0.0)
emotions	embedding_proba__10	39.56 (1.98)	0.98 (0.04)	0.8 (0.45)	34.5 (2.08)	0.98 (0.04)	0.8 (0.45)	5.07 (0.15)	1.0 (0.0)	1.0 (0.0)	0.3 (0.06)	0.46 (0.36)	0.0 (0.0)	0.62 (0.03)	0.26 (0.22)	0.0 (0.0)	0.66 (0.02)	0.4 (0.28)	0.0 (0.0)	0.59 (0.02)	0.24 (0.17)	0.0 (0.0)	0.63 (0.02)	0.28 (0.25)	0.0 (0.0)	0.47 (0.03)	0.32 (0.27)	0.0 (0.0)	0.49 (0.02)	0.4 (0.28)	0.0 (0.0)	0.52 (0.02)	0.3 (0.19)	0.0 (0.0)	0.48 (0.03)	0.36 (0.31)	0.0 (0.0)	0.75 (0.02)	0.54 (0.26)	0.0 (0.0)	0.75 (0.03)	0.56 (0.32)	0.0 (0.0)	0.64 (0.02)	0.26 (0.18)	0.0 (0.0)	0.74 (0.03)	0.54 (0.32)	0.0 (0.0)	0.57 (0.03)	0.26 (0.21)	0.0 (0.0)	0.59 (0.02)	0.28 (0.22)	0.0 (0.0)	0.59 (0.02)	0.24 (0.21)	0.0 (0.0)	0.59 (0.02)	0.28 (0.22)	0.0 (0.0)
emotions	embedding_proba__2	10.2 (0.05)	0.2 (0.0)	0.0 (0.0)	8.95 (0.05)	0.2 (0.0)	0.0 (0.0)	1.25 (0.02)	0.2 (0.0)	0.0 (0.0)	0.32 (0.08)	0.51 (0.37)	0.2 (0.45)	0.66 (0.05)	0.64 (0.26)	0.2 (0.45)	0.69 (0.04)	0.6 (0.34)	0.2 (0.45)	0.64 (0.05)	0.68 (0.2)	0.2 (0.45)	0.67 (0.05)	0.6 (0.29)	0.2 (0.45)	0.51 (0.05)	0.66 (0.28)	0.2 (0.45)	0.53 (0.05)	0.6 (0.34)	0.2 (0.45)	0.56 (0.05)	0.56 (0.3)	0.2 (0.45)	0.52 (0.05)	0.58 (0.32)	0.2 (0.45)	0.75 (0.06)	0.54 (0.39)	0.2 (0.45)	0.74 (0.05)	0.52 (0.44)	0.4 (0.55)	0.69 (0.06)	0.7 (0.3)	0.4 (0.55)	0.74 (0.06)	0.54 (0.43)	0.4 (0.55)	0.62 (0.04)	0.64 (0.29)	0.2 (0.45)	0.64 (0.04)	0.66 (0.26)	0.2 (0.45)	0.64 (0.04)	0.6 (0.26)	0.2 (0.45)	0.64 (0.04)	0.66 (0.26)	0.2 (0.45)
emotions	embedding_proba__3	14.42 (0.33)	0.3 (0.0)	0.0 (0.0)	12.65 (0.35)	0.3 (0.0)	0.0 (0.0)	1.76 (0.03)	0.3 (0.0)	0.0 (0.0)	0.33 (0.03)	0.75 (0.22)	0.2 (0.45)	0.66 (0.02)	0.6 (0.23)	0.0 (0.0)	0.69 (0.02)	0.58 (0.33)	0.0 (0.0)	0.64 (0.02)	0.7 (0.24)	0.2 (0.45)	0.67 (0.02)	0.58 (0.33)	0.0 (0.0)	0.51 (0.02)	0.64 (0.24)	0.0 (0.0)	0.53 (0.02)	0.58 (0.33)	0.0 (0.0)	0.56 (0.02)	0.7 (0.2)	0.0 (0.0)	0.52 (0.02)	0.6 (0.32)	0.0 (0.0)	0.74 (0.04)	0.5 (0.41)	0.2 (0.45)	0.73 (0.03)	0.48 (0.34)	0.0 (0.0)	0.69 (0.02)	0.66 (0.23)	0.2 (0.45)	0.73 (0.03)	0.5 (0.35)	0.0 (0.0)	0.63 (0.03)	0.76 (0.23)	0.2 (0.45)	0.65 (0.03)	0.77 (0.29)	0.4 (0.55)	0.65 (0.04)	0.7 (0.22)	0.2 (0.45)	0.65 (0.03)	0.77 (0.29)	0.4 (0.55)
emotions	embedding_proba__4	17.99 (0.41)	0.4 (0.0)	0.0 (0.0)	15.79 (0.44)	0.4 (0.0)	0.0 (0.0)	2.2 (0.08)	0.4 (0.0)	0.0 (0.0)	0.34 (0.03)	0.72 (0.31)	0.2 (0.45)	0.67 (0.03)	0.64 (0.36)	0.0 (0.0)	0.69 (0.02)	0.64 (0.27)	0.0 (0.0)	0.64 (0.02)	0.76 (0.28)	0.2 (0.45)	0.67 (0.03)	0.66 (0.34)	0.2 (0.45)	0.52 (0.03)	0.66 (0.29)	0.0 (0.0)	0.53 (0.02)	0.64 (0.27)	0.0 (0.0)	0.57 (0.02)	0.76 (0.28)	0.2 (0.45)	0.52 (0.03)	0.64 (0.31)	0.0 (0.0)	0.75 (0.03)	0.56 (0.3)	0.0 (0.0)	0.74 (0.03)	0.48 (0.27)	0.0 (0.0)	0.7 (0.03)	0.72 (0.25)	0.0 (0.0)	0.75 (0.03)	0.52 (0.27)	0.0 (0.0)	0.63 (0.02)	0.76 (0.19)	0.0 (0.0)	0.65 (0.02)	0.74 (0.18)	0.0 (0.0)	0.65 (0.01)	0.8 (0.2)	0.2 (0.45)	0.65 (0.02)	0.74 (0.18)	0.0 (0.0)
emotions	embedding_proba__5	21.51 (0.27)	0.5 (0.0)	0.0 (0.0)	18.88 (0.39)	0.5 (0.0)	0.0 (0.0)	2.63 (0.12)	0.5 (0.0)	0.0 (0.0)	0.33 (0.01)	0.62 (0.16)	0.0 (0.0)	0.67 (0.02)	0.8 (0.19)	0.4 (0.55)	0.69 (0.01)	0.78 (0.2)	0.4 (0.55)	0.64 (0.02)	0.76 (0.17)	0.2 (0.45)	0.68 (0.02)	0.8 (0.14)	0.2 (0.45)	0.51 (0.02)	0.76 (0.23)	0.4 (0.55)	0.53 (0.02)	0.78 (0.2)	0.4 (0.55)	0.56 (0.02)	0.78 (0.15)	0.2 (0.45)	0.52 (0.02)	0.78 (0.2)	0.4 (0.55)	0.75 (0.01)	0.58 (0.16)	0.0 (0.0)	0.74 (0.01)	0.54 (0.21)	0.0 (0.0)	0.69 (0.02)	0.7 (0.1)	0.0 (0.0)	0.74 (0.01)	0.56 (0.18)	0.0 (0.0)	0.63 (0.03)	0.8 (0.21)	0.4 (0.55)	0.65 (0.02)	0.8 (0.21)	0.4 (0.55)	0.65 (0.03)	0.76 (0.21)	0.2 (0.45)	0.65 (0.02)	0.8 (0.21)	0.4 (0.55)
emotions	embedding_proba__6	25.24 (0.26)	0.6 (0.0)	0.0 (0.0)	22.23 (0.37)	0.6 (0.0)	0.0 (0.0)	3.01 (0.15)	0.6 (0.0)	0.0 (0.0)	0.33 (0.07)	0.5 (0.34)	0.2 (0.45)	0.65 (0.03)	0.54 (0.26)	0.0 (0.0)	0.68 (0.03)	0.52 (0.33)	0.2 (0.45)	0.62 (0.04)	0.58 (0.22)	0.0 (0.0)	0.66 (0.03)	0.54 (0.29)	0.0 (0.0)	0.5 (0.04)	0.56 (0.34)	0.2 (0.45)	0.52 (0.04)	0.52 (0.33)	0.2 (0.45)	0.55 (0.04)	0.52 (0.34)	0.2 (0.45)	0.52 (0.04)	0.58 (0.29)	0.2 (0.45)	0.76 (0.06)	0.58 (0.38)	0.2 (0.45)	0.75 (0.04)	0.56 (0.43)	0.4 (0.55)	0.68 (0.05)	0.58 (0.37)	0.2 (0.45)	0.75 (0.05)	0.58 (0.43)	0.4 (0.55)	0.61 (0.03)	0.56 (0.15)	0.0 (0.0)	0.63 (0.03)	0.6 (0.19)	0.0 (0.0)	0.63 (0.03)	0.58 (0.19)	0.0 (0.0)	0.63 (0.03)	0.6 (0.19)	0.0 (0.0)
emotions	embedding_proba__7	29.42 (1.18)	0.7 (0.0)	0.0 (0.0)	25.92 (1.4)	0.72 (0.04)	0.0 (0.0)	3.51 (0.25)	0.72 (0.04)	0.0 (0.0)	0.31 (0.03)	0.46 (0.13)	0.0 (0.0)	0.64 (0.02)	0.44 (0.15)	0.0 (0.0)	0.67 (0.02)	0.44 (0.15)	0.0 (0.0)	0.6 (0.02)	0.42 (0.23)	0.0 (0.0)	0.65 (0.02)	0.44 (0.15)	0.0 (0.0)	0.48 (0.02)	0.38 (0.13)	0.0 (0.0)	0.5 (0.02)	0.44 (0.15)	0.0 (0.0)	0.53 (0.02)	0.44 (0.21)	0.0 (0.0)	0.5 (0.02)	0.42 (0.15)	0.0 (0.0)	0.76 (0.03)	0.58 (0.28)	0.2 (0.45)	0.75 (0.02)	0.64 (0.26)	0.2 (0.45)	0.66 (0.04)	0.5 (0.25)	0.0 (0.0)	0.75 (0.02)	0.6 (0.27)	0.2 (0.45)	0.58 (0.02)	0.32 (0.08)	0.0 (0.0)	0.6 (0.02)	0.27 (0.07)	0.0 (0.0)	0.61 (0.02)	0.34 (0.21)	0.0 (0.0)	0.6 (0.02)	0.27 (0.07)	0.0 (0.0)
emotions	embedding_proba__8	31.43 (0.56)	0.8 (0.0)	0.0 (0.0)	27.57 (0.52)	0.78 (0.04)	0.0 (0.0)	3.87 (0.16)	0.78 (0.04)	0.0 (0.0)	0.32 (0.04)	0.62 (0.37)	0.2 (0.45)	0.64 (0.03)	0.44 (0.34)	0.2 (0.45)	0.67 (0.02)	0.48 (0.3)	0.2 (0.45)	0.6 (0.03)	0.42 (0.29)	0.0 (0.0)	0.65 (0.02)	0.5 (0.23)	0.0 (0.0)	0.49 (0.03)	0.42 (0.38)	0.2 (0.45)	0.5 (0.02)	0.48 (0.3)	0.2 (0.45)	0.53 (0.03)	0.48 (0.36)	0.2 (0.45)	0.5 (0.02)	0.5 (0.3)	0.2 (0.45)	0.74 (0.03)	0.48 (0.3)	0.0 (0.0)	0.74 (0.01)	0.56 (0.13)	0.0 (0.0)	0.65 (0.03)	0.39 (0.26)	0.0 (0.0)	0.74 (0.02)	0.54 (0.23)	0.0 (0.0)	0.59 (0.04)	0.44 (0.36)	0.2 (0.45)	0.61 (0.03)	0.44 (0.28)	0.0 (0.0)	0.61 (0.03)	0.44 (0.27)	0.0 (0.0)	0.61 (0.03)	0.44 (0.28)	0.0 (0.0)
emotions	embedding_proba__9	37.26 (1.13)	0.92 (0.04)	0.2 (0.45)	32.58 (1.28)	0.92 (0.04)	0.2 (0.45)	4.68 (0.15)	0.9 (0.0)	0.0 (0.0)	0.31 (0.01)	0.38 (0.19)	0.0 (0.0)	0.64 (0.03)	0.54 (0.36)	0.0 (0.0)	0.67 (0.02)	0.52 (0.29)	0.0 (0.0)	0.6 (0.04)	0.4 (0.35)	0.2 (0.45)	0.65 (0.03)	0.54 (0.38)	0.2 (0.45)	0.49 (0.03)	0.52 (0.31)	0.0 (0.0)	0.51 (0.03)	0.52 (0.29)	0.0 (0.0)	0.53 (0.03)	0.44 (0.3)	0.0 (0.0)	0.5 (0.03)	0.52 (0.33)	0.0 (0.0)	0.76 (0.05)	0.58 (0.36)	0.2 (0.45)	0.75 (0.04)	0.64 (0.29)	0.0 (0.0)	0.64 (0.03)	0.36 (0.3)	0.0 (0.0)	0.75 (0.04)	0.56 (0.33)	0.0 (0.0)	0.59 (0.03)	0.42 (0.26)	0.0 (0.0)	0.61 (0.03)	0.42 (0.3)	0.0 (0.0)	0.61 (0.05)	0.44 (0.38)	0.2 (0.45)	0.61 (0.03)	0.42 (0.3)	0.0 (0.0)
enron	embedding_proba__1	19.92 (0.47)	0.1 (0.0)	0.0 (0.0)	18.25 (0.49)	0.1 (0.0)	0.0 (0.0)	1.67 (0.04)	0.1 (0.0)	0.0 (0.0)	0.11 (0.01)	0.28 (0.15)	0.0 (0.0)	0.19 (0.02)	0.66 (0.36)	0.4 (0.55)	0.55 (0.01)	0.28 (0.18)	0.0 (0.0)	0.52 (0.01)	0.12 (0.04)	0.0 (0.0)	0.48 (0.01)	0.44 (0.26)	0.0 (0.0)	0.13 (0.01)	0.62 (0.36)	0.4 (0.55)	0.37 (0.01)	0.28 (0.18)	0.0 (0.0)	0.41 (0.01)	0.12 (0.04)	0.0 (0.0)	0.36 (0.01)	0.36 (0.17)	0.0 (0.0)	0.33 (0.04)	0.56 (0.36)	0.0 (0.0)	0.71 (0.02)	0.6 (0.34)	0.2 (0.45)	0.68 (0.02)	0.48 (0.4)	0.2 (0.45)	0.6 (0.03)	0.62 (0.4)	0.2 (0.45)	0.16 (0.01)	0.58 (0.43)	0.4 (0.55)	0.44 (0.01)	0.16 (0.05)	0.0 (0.0)	0.46 (0.01)	0.12 (0.04)	0.0 (0.0)	0.44 (0.01)	0.16 (0.05)	0.0 (0.0)
enron	embedding_proba__10	193.69 (4.49)	1.0 (0.0)	1.0 (0.0)	184.65 (5.01)	1.0 (0.0)	1.0 (0.0)	9.04 (0.6)	0.98 (0.04)	0.8 (0.45)	0.12 (0.01)	0.6 (0.29)	0.0 (0.0)	0.18 (0.02)	0.42 (0.36)	0.0 (0.0)	0.56 (0.01)	0.5 (0.39)	0.2 (0.45)	0.54 (0.02)	0.58 (0.32)	0.2 (0.45)	0.48 (0.01)	0.4 (0.37)	0.2 (0.45)	0.13 (0.01)	0.4 (0.37)	0.0 (0.0)	0.38 (0.01)	0.5 (0.39)	0.2 (0.45)	0.43 (0.02)	0.58 (0.33)	0.2 (0.45)	0.37 (0.01)	0.42 (0.38)	0.2 (0.45)	0.31 (0.04)	0.46 (0.42)	0.2 (0.45)	0.69 (0.02)	0.4 (0.37)	0.0 (0.0)	0.67 (0.02)	0.4 (0.37)	0.2 (0.45)	0.59 (0.04)	0.42 (0.38)	0.2 (0.45)	0.15 (0.01)	0.44 (0.34)	0.0 (0.0)	0.46 (0.01)	0.6 (0.25)	0.0 (0.0)	0.49 (0.02)	0.56 (0.36)	0.2 (0.45)	0.46 (0.01)	0.6 (0.25)	0.0 (0.0)
enron	embedding_proba__2	71.79 (1.26)	0.3 (0.0)	0.0 (0.0)	69.34 (1.31)	0.3 (0.0)	0.0 (0.0)	2.45 (0.06)	0.2 (0.0)	0.0 (0.0)	0.12 (0.01)	0.59 (0.32)	0.0 (0.0)	0.19 (0.01)	0.58 (0.25)	0.0 (0.0)	0.56 (0.01)	0.52 (0.3)	0.2 (0.45)	0.54 (0.01)	0.5 (0.24)	0.0 (0.0)	0.49 (0.01)	0.68 (0.25)	0.0 (0.0)	0.13 (0.0)	0.62 (0.25)	0.0 (0.0)	0.39 (0.01)	0.52 (0.3)	0.2 (0.45)	0.43 (0.0)	0.54 (0.23)	0.0 (0.0)	0.38 (0.01)	0.66 (0.25)	0.0 (0.0)	0.32 (0.03)	0.46 (0.36)	0.2 (0.45)	0.71 (0.01)	0.6 (0.32)	0.2 (0.45)	0.68 (0.01)	0.54 (0.15)	0.0 (0.0)	0.61 (0.02)	0.66 (0.32)	0.2 (0.45)	0.16 (0.01)	0.62 (0.25)	0.0 (0.0)	0.46 (0.01)	0.5 (0.29)	0.2 (0.45)	0.49 (0.0)	0.56 (0.27)	0.2 (0.45)	0.46 (0.01)	0.5 (0.29)	0.2 (0.45)
enron	embedding_proba__3	58.86 (1.95)	0.2 (0.0)	0.0 (0.0)	55.63 (2.1)	0.2 (0.0)	0.0 (0.0)	3.23 (0.16)	0.3 (0.0)	0.0 (0.0)	0.13 (0.02)	0.6 (0.38)	0.4 (0.55)	0.2 (0.01)	0.82 (0.2)	0.4 (0.55)	0.56 (0.01)	0.56 (0.38)	0.0 (0.0)	0.54 (0.01)	0.58 (0.33)	0.2 (0.45)	0.49 (0.01)	0.58 (0.4)	0.4 (0.55)	0.14 (0.01)	0.76 (0.3)	0.4 (0.55)	0.39 (0.01)	0.56 (0.38)	0.0 (0.0)	0.43 (0.01)	0.56 (0.36)	0.2 (0.45)	0.37 (0.02)	0.62 (0.44)	0.4 (0.55)	0.34 (0.02)	0.66 (0.25)	0.0 (0.0)	0.7 (0.02)	0.56 (0.29)	0.0 (0.0)	0.68 (0.02)	0.6 (0.42)	0.2 (0.45)	0.61 (0.01)	0.62 (0.16)	0.0 (0.0)	0.16 (0.0)	0.84 (0.21)	0.4 (0.55)	0.46 (0.01)	0.54 (0.36)	0.0 (0.0)	0.49 (0.01)	0.64 (0.26)	0.0 (0.0)	0.46 (0.01)	0.54 (0.36)	0.0 (0.0)
enron	embedding_proba__4	78.08 (2.65)	0.4 (0.0)	0.0 (0.0)	73.89 (2.85)	0.4 (0.0)	0.0 (0.0)	4.18 (0.21)	0.4 (0.0)	0.0 (0.0)	0.12 (0.01)	0.44 (0.21)	0.0 (0.0)	0.18 (0.01)	0.46 (0.21)	0.0 (0.0)	0.56 (0.01)	0.58 (0.23)	0.0 (0.0)	0.54 (0.01)	0.48 (0.3)	0.0 (0.0)	0.49 (0.01)	0.54 (0.3)	0.0 (0.0)	0.13 (0.01)	0.5 (0.16)	0.0 (0.0)	0.39 (0.01)	0.58 (0.23)	0.0 (0.0)	0.43 (0.01)	0.44 (0.21)	0.0 (0.0)	0.37 (0.01)	0.52 (0.28)	0.0 (0.0)	0.33 (0.02)	0.5 (0.28)	0.2 (0.45)	0.7 (0.01)	0.54 (0.17)	0.0 (0.0)	0.68 (0.02)	0.54 (0.33)	0.0 (0.0)	0.61 (0.01)	0.64 (0.23)	0.0 (0.0)	0.15 (0.01)	0.44 (0.23)	0.0 (0.0)	0.46 (0.01)	0.48 (0.26)	0.0 (0.0)	0.49 (0.02)	0.48 (0.26)	0.0 (0.0)	0.46 (0.01)	0.48 (0.26)	0.0 (0.0)
enron	embedding_proba__5	98.84 (3.97)	0.5 (0.0)	0.0 (0.0)	93.79 (4.18)	0.5 (0.0)	0.0 (0.0)	5.05 (0.25)	0.52 (0.04)	0.0 (0.0)	0.13 (0.01)	0.66 (0.3)	0.2 (0.45)	0.18 (0.01)	0.38 (0.24)	0.0 (0.0)	0.56 (0.01)	0.64 (0.36)	0.2 (0.45)	0.54 (0.01)	0.66 (0.21)	0.2 (0.45)	0.49 (0.01)	0.58 (0.36)	0.0 (0.0)	0.13 (0.01)	0.42 (0.28)	0.0 (0.0)	0.39 (0.01)	0.64 (0.36)	0.2 (0.45)	0.43 (0.01)	0.7 (0.19)	0.2 (0.45)	0.37 (0.01)	0.62 (0.31)	0.0 (0.0)	0.31 (0.02)	0.46 (0.23)	0.0 (0.0)	0.7 (0.01)	0.66 (0.34)	0.2 (0.45)	0.69 (0.01)	0.62 (0.22)	0.0 (0.0)	0.6 (0.02)	0.56 (0.25)	0.0 (0.0)	0.15 (0.01)	0.44 (0.29)	0.0 (0.0)	0.47 (0.01)	0.64 (0.29)	0.2 (0.45)	0.49 (0.01)	0.6 (0.19)	0.0 (0.0)	0.47 (0.01)	0.64 (0.29)	0.2 (0.45)
enron	embedding_proba__6	130.54 (2.7)	0.6 (0.0)	0.0 (0.0)	124.77 (3.13)	0.6 (0.0)	0.0 (0.0)	5.76 (0.46)	0.58 (0.04)	0.0 (0.0)	0.12 (0.01)	0.6 (0.19)	0.0 (0.0)	0.18 (0.01)	0.4 (0.24)	0.0 (0.0)	0.56 (0.01)	0.54 (0.28)	0.0 (0.0)	0.54 (0.01)	0.66 (0.21)	0.0 (0.0)	0.48 (0.01)	0.52 (0.37)	0.2 (0.45)	0.13 (0.01)	0.38 (0.26)	0.0 (0.0)	0.39 (0.01)	0.54 (0.28)	0.0 (0.0)	0.43 (0.01)	0.68 (0.22)	0.0 (0.0)	0.37 (0.01)	0.54 (0.36)	0.0 (0.0)	0.32 (0.02)	0.42 (0.29)	0.0 (0.0)	0.7 (0.02)	0.56 (0.3)	0.0 (0.0)	0.69 (0.01)	0.6 (0.19)	0.0 (0.0)	0.59 (0.02)	0.42 (0.29)	0.0 (0.0)	0.15 (0.01)	0.36 (0.18)	0.0 (0.0)	0.46 (0.01)	0.6 (0.23)	0.0 (0.0)	0.49 (0.01)	0.64 (0.13)	0.0 (0.0)	0.46 (0.01)	0.6 (0.23)	0.0 (0.0)
enron	embedding_proba__7	136.83 (5.14)	0.7 (0.0)	0.0 (0.0)	130.3 (5.29)	0.7 (0.0)	0.0 (0.0)	6.53 (0.31)	0.7 (0.0)	0.0 (0.0)	0.12 (0.01)	0.4 (0.37)	0.2 (0.45)	0.18 (0.02)	0.58 (0.33)	0.0 (0.0)	0.56 (0.01)	0.62 (0.31)	0.2 (0.45)	0.54 (0.02)	0.58 (0.34)	0.2 (0.45)	0.49 (0.01)	0.6 (0.32)	0.2 (0.45)	0.13 (0.01)	0.54 (0.3)	0.0 (0.0)	0.39 (0.01)	0.62 (0.31)	0.2 (0.45)	0.43 (0.01)	0.58 (0.34)	0.2 (0.45)	0.37 (0.01)	0.62 (0.35)	0.4 (0.55)	0.33 (0.03)	0.66 (0.3)	0.2 (0.45)	0.7 (0.02)	0.46 (0.32)	0.2 (0.45)	0.68 (0.02)	0.58 (0.27)	0.2 (0.45)	0.6 (0.02)	0.54 (0.34)	0.2 (0.45)	0.15 (0.02)	0.58 (0.3)	0.0 (0.0)	0.47 (0.01)	0.68 (0.2)	0.0 (0.0)	0.49 (0.01)	0.62 (0.35)	0.4 (0.55)	0.47 (0.01)	0.68 (0.2)	0.0 (0.0)
enron	embedding_proba__8	156.12 (7.09)	0.8 (0.0)	0.0 (0.0)	148.58 (7.59)	0.8 (0.0)	0.0 (0.0)	7.54 (0.57)	0.82 (0.04)	0.0 (0.0)	0.12 (0.01)	0.62 (0.31)	0.0 (0.0)	0.19 (0.01)	0.58 (0.27)	0.2 (0.45)	0.56 (0.01)	0.7 (0.19)	0.2 (0.45)	0.54 (0.01)	0.64 (0.25)	0.2 (0.45)	0.49 (0.01)	0.64 (0.15)	0.0 (0.0)	0.13 (0.01)	0.64 (0.23)	0.2 (0.45)	0.39 (0.01)	0.7 (0.19)	0.2 (0.45)	0.43 (0.01)	0.66 (0.27)	0.2 (0.45)	0.37 (0.01)	0.62 (0.13)	0.0 (0.0)	0.34 (0.02)	0.72 (0.18)	0.2 (0.45)	0.7 (0.02)	0.56 (0.38)	0.2 (0.45)	0.68 (0.01)	0.64 (0.36)	0.2 (0.45)	0.61 (0.01)	0.68 (0.31)	0.2 (0.45)	0.16 (0.01)	0.6 (0.25)	0.2 (0.45)	0.47 (0.02)	0.64 (0.39)	0.4 (0.55)	0.49 (0.02)	0.62 (0.39)	0.2 (0.45)	0.47 (0.02)	0.64 (0.39)	0.4 (0.55)
enron	embedding_proba__9	177.09 (3.26)	0.9 (0.0)	0.0 (0.0)	168.68 (3.54)	0.9 (0.0)	0.0 (0.0)	8.41 (0.32)	0.9 (0.07)	0.2 (0.45)	0.13 (0.01)	0.71 (0.27)	0.2 (0.45)	0.19 (0.01)	0.62 (0.34)	0.0 (0.0)	0.56 (0.01)	0.56 (0.27)	0.0 (0.0)	0.54 (0.01)	0.7 (0.29)	0.0 (0.0)	0.49 (0.01)	0.52 (0.19)	0.0 (0.0)	0.13 (0.01)	0.62 (0.34)	0.0 (0.0)	0.39 (0.01)	0.56 (0.27)	0.0 (0.0)	0.43 (0.01)	0.64 (0.32)	0.0 (0.0)	0.37 (0.01)	0.52 (0.22)	0.0 (0.0)	0.32 (0.03)	0.6 (0.27)	0.0 (0.0)	0.7 (0.02)	0.56 (0.23)	0.0 (0.0)	0.68 (0.01)	0.5 (0.28)	0.0 (0.0)	0.59 (0.01)	0.34 (0.17)	0.0 (0.0)	0.15 (0.01)	0.6 (0.3)	0.0 (0.0)	0.47 (0.01)	0.66 (0.3)	0.2 (0.45)	0.49 (0.02)	0.66 (0.27)	0.0 (0.0)	0.47 (0.01)	0.66 (0.3)	0.2 (0.45)
genbase	embedding_proba__1	5.39 (0.38)	0.1 (0.0)	0.0 (0.0)	4.47 (0.36)	0.1 (0.0)	0.0 (0.0)	0.91 (0.02)	0.1 (0.0)	0.0 (0.0)	0.96 (0.02)	0.74 (0.26)	0.2 (0.45)	0.97 (0.02)	0.78 (0.25)	0.4 (0.55)	0.98 (0.01)	0.74 (0.3)	0.4 (0.55)	0.97 (0.01)	0.59 (0.25)	0.0 (0.0)	0.98 (0.01)	0.78 (0.25)	0.4 (0.55)	0.94 (0.03)	0.8 (0.24)	0.4 (0.55)	0.96 (0.01)	0.74 (0.3)	0.4 (0.55)	0.97 (0.01)	0.67 (0.32)	0.2 (0.45)	0.96 (0.01)	0.74 (0.3)	0.4 (0.55)	1.0 (0.01)	0.66 (0.15)	0.0 (0.0)	1.0 (0.0)	0.55 (0.2)	0.0 (0.0)	0.97 (0.01)	0.54 (0.33)	0.0 (0.0)	1.0 (0.0)	0.68 (0.1)	0.0 (0.0)	0.95 (0.03)	0.8 (0.24)	0.4 (0.55)	0.96 (0.01)	0.76 (0.29)	0.4 (0.55)	0.97 (0.01)	0.67 (0.3)	0.2 (0.45)	0.96 (0.01)	0.76 (0.29)	0.4 (0.55)
