dataset	estimator	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories	test_accuracy	test_accuracy_rank	test_accuracy_victories	test_f1_macro	test_f1_macro_rank	test_f1_macro_victories	test_f1_micro	test_f1_micro_rank	test_f1_micro_victories	test_f1_samples	test_f1_samples_rank	test_f1_samples_victories	test_f1_weighted	test_f1_weighted_rank	test_f1_weighted_victories	test_jaccard_macro	test_jaccard_macro_rank	test_jaccard_macro_victories	test_jaccard_micro	test_jaccard_micro_rank	test_jaccard_micro_victories	test_jaccard_samples	test_jaccard_samples_rank	test_jaccard_samples_victories	test_jaccard_weighted	test_jaccard_weighted_rank	test_jaccard_weighted_victories	test_precision_macro	test_precision_macro_rank	test_precision_macro_victories	test_precision_micro	test_precision_micro_rank	test_precision_micro_victories	test_precision_samples	test_precision_samples_rank	test_precision_samples_victories	test_precision_weighted	test_precision_weighted_rank	test_precision_weighted_victories	test_recall_macro	test_recall_macro_rank	test_recall_macro_victories	test_recall_micro	test_recall_micro_rank	test_recall_micro_victories	test_recall_samples	test_recall_samples_rank	test_recall_samples_victories	test_recall_weighted	test_recall_weighted_rank	test_recall_weighted_victories
VirusPseAAC	embedding_proba__1	3.11 (0.07)	0.1 (0.0)	0.0 (0.0)	2.56 (0.09)	0.1 (0.0)	0.0 (0.0)	0.56 (0.03)	0.1 (0.0)	0.0 (0.0)	0.12 (0.05)	0.55 (0.27)	0.0 (0.0)	0.14 (0.05)	0.62 (0.13)	0.0 (0.0)	0.24 (0.03)	0.74 (0.11)	0.0 (0.0)	0.17 (0.04)	0.7 (0.23)	0.0 (0.0)	0.21 (0.02)	0.74 (0.13)	0.0 (0.0)	0.09 (0.04)	0.6 (0.1)	0.0 (0.0)	0.14 (0.02)	0.74 (0.11)	0.0 (0.0)	0.15 (0.04)	0.66 (0.22)	0.0 (0.0)	0.13 (0.01)	0.74 (0.13)	0.0 (0.0)	0.22 (0.1)	0.58 (0.24)	0.2 (0.45)	0.49 (0.11)	0.64 (0.26)	0.0 (0.0)	0.19 (0.04)	0.73 (0.2)	0.0 (0.0)	0.36 (0.1)	0.56 (0.29)	0.2 (0.45)	0.11 (0.05)	0.64 (0.15)	0.0 (0.0)	0.16 (0.04)	0.79 (0.12)	0.0 (0.0)	0.15 (0.04)	0.66 (0.22)	0.0 (0.0)	0.16 (0.04)	0.79 (0.12)	0.0 (0.0)
VirusPseAAC	embedding_proba__10	19.23 (0.25)	1.0 (0.0)	1.0 (0.0)	15.77 (0.24)	1.0 (0.0)	1.0 (0.0)	3.46 (0.15)	1.0 (0.0)	1.0 (0.0)	0.08 (0.05)	0.32 (0.26)	0.0 (0.0)	0.1 (0.06)	0.42 (0.35)	0.0 (0.0)	0.14 (0.06)	0.26 (0.18)	0.0 (0.0)	0.1 (0.05)	0.28 (0.22)	0.0 (0.0)	0.12 (0.05)	0.26 (0.18)	0.0 (0.0)	0.06 (0.05)	0.44 (0.38)	0.0 (0.0)	0.07 (0.04)	0.26 (0.18)	0.0 (0.0)	0.09 (0.05)	0.3 (0.23)	0.0 (0.0)	0.07 (0.03)	0.26 (0.18)	0.0 (0.0)	0.22 (0.11)	0.61 (0.43)	0.4 (0.55)	0.41 (0.15)	0.46 (0.34)	0.2 (0.45)	0.1 (0.06)	0.28 (0.22)	0.0 (0.0)	0.33 (0.11)	0.62 (0.32)	0.2 (0.45)	0.07 (0.05)	0.38 (0.3)	0.0 (0.0)	0.08 (0.04)	0.28 (0.2)	0.0 (0.0)	0.09 (0.05)	0.3 (0.23)	0.0 (0.0)	0.08 (0.04)	0.28 (0.2)	0.0 (0.0)
VirusPseAAC	embedding_proba__2	5.03 (0.13)	0.2 (0.0)	0.0 (0.0)	4.15 (0.15)	0.2 (0.0)	0.0 (0.0)	0.89 (0.02)	0.2 (0.0)	0.0 (0.0)	0.2 (0.07)	0.8 (0.31)	0.6 (0.55)	0.16 (0.07)	0.72 (0.34)	0.4 (0.55)	0.29 (0.08)	0.82 (0.3)	0.6 (0.55)	0.24 (0.07)	0.84 (0.26)	0.6 (0.55)	0.26 (0.07)	0.82 (0.3)	0.6 (0.55)	0.11 (0.05)	0.74 (0.36)	0.6 (0.55)	0.17 (0.05)	0.82 (0.3)	0.6 (0.55)	0.23 (0.07)	0.82 (0.3)	0.6 (0.55)	0.17 (0.05)	0.82 (0.3)	0.6 (0.55)	0.22 (0.1)	0.54 (0.32)	0.0 (0.0)	0.49 (0.14)	0.66 (0.36)	0.2 (0.45)	0.26 (0.08)	0.86 (0.26)	0.6 (0.55)	0.36 (0.11)	0.66 (0.36)	0.2 (0.45)	0.13 (0.06)	0.73 (0.28)	0.2 (0.45)	0.21 (0.05)	0.87 (0.2)	0.6 (0.55)	0.23 (0.07)	0.86 (0.22)	0.6 (0.55)	0.21 (0.05)	0.87 (0.2)	0.6 (0.55)
VirusPseAAC	embedding_proba__3	6.89 (0.18)	0.3 (0.0)	0.0 (0.0)	5.7 (0.2)	0.3 (0.0)	0.0 (0.0)	1.19 (0.03)	0.3 (0.0)	0.0 (0.0)	0.14 (0.06)	0.74 (0.26)	0.4 (0.55)	0.13 (0.04)	0.68 (0.26)	0.2 (0.45)	0.26 (0.09)	0.84 (0.21)	0.4 (0.55)	0.19 (0.08)	0.78 (0.22)	0.4 (0.55)	0.23 (0.08)	0.84 (0.21)	0.4 (0.55)	0.08 (0.03)	0.64 (0.21)	0.0 (0.0)	0.15 (0.06)	0.84 (0.21)	0.4 (0.55)	0.18 (0.07)	0.78 (0.22)	0.4 (0.55)	0.15 (0.06)	0.84 (0.21)	0.4 (0.55)	0.19 (0.03)	0.58 (0.11)	0.0 (0.0)	0.51 (0.12)	0.7 (0.29)	0.0 (0.0)	0.21 (0.07)	0.84 (0.21)	0.4 (0.55)	0.37 (0.09)	0.64 (0.25)	0.0 (0.0)	0.1 (0.04)	0.68 (0.26)	0.2 (0.45)	0.18 (0.07)	0.83 (0.2)	0.4 (0.55)	0.18 (0.08)	0.78 (0.22)	0.4 (0.55)	0.18 (0.07)	0.83 (0.2)	0.4 (0.55)
VirusPseAAC	embedding_proba__4	8.7 (0.17)	0.4 (0.0)	0.0 (0.0)	7.19 (0.18)	0.4 (0.0)	0.0 (0.0)	1.51 (0.05)	0.4 (0.0)	0.0 (0.0)	0.14 (0.04)	0.7 (0.27)	0.0 (0.0)	0.14 (0.05)	0.64 (0.22)	0.0 (0.0)	0.23 (0.04)	0.71 (0.19)	0.0 (0.0)	0.17 (0.03)	0.76 (0.19)	0.0 (0.0)	0.2 (0.03)	0.68 (0.18)	0.0 (0.0)	0.09 (0.04)	0.64 (0.22)	0.0 (0.0)	0.13 (0.02)	0.71 (0.19)	0.0 (0.0)	0.16 (0.03)	0.74 (0.23)	0.0 (0.0)	0.12 (0.02)	0.66 (0.22)	0.0 (0.0)	0.19 (0.04)	0.52 (0.22)	0.0 (0.0)	0.45 (0.05)	0.51 (0.12)	0.0 (0.0)	0.19 (0.03)	0.74 (0.16)	0.0 (0.0)	0.33 (0.05)	0.48 (0.13)	0.0 (0.0)	0.12 (0.07)	0.68 (0.26)	0.2 (0.45)	0.15 (0.03)	0.75 (0.19)	0.0 (0.0)	0.16 (0.03)	0.72 (0.22)	0.0 (0.0)	0.15 (0.03)	0.75 (0.19)	0.0 (0.0)
VirusPseAAC	embedding_proba__5	10.24 (0.25)	0.5 (0.0)	0.0 (0.0)	8.38 (0.26)	0.5 (0.0)	0.0 (0.0)	1.86 (0.04)	0.5 (0.0)	0.0 (0.0)	0.15 (0.04)	0.78 (0.04)	0.0 (0.0)	0.16 (0.08)	0.68 (0.41)	0.4 (0.55)	0.22 (0.05)	0.66 (0.23)	0.0 (0.0)	0.17 (0.04)	0.72 (0.13)	0.0 (0.0)	0.2 (0.05)	0.66 (0.23)	0.0 (0.0)	0.1 (0.05)	0.68 (0.41)	0.4 (0.55)	0.13 (0.03)	0.66 (0.23)	0.0 (0.0)	0.16 (0.04)	0.74 (0.13)	0.0 (0.0)	0.12 (0.03)	0.7 (0.16)	0.0 (0.0)	0.24 (0.12)	0.6 (0.37)	0.0 (0.0)	0.46 (0.13)	0.53 (0.36)	0.2 (0.45)	0.18 (0.05)	0.67 (0.1)	0.0 (0.0)	0.34 (0.12)	0.52 (0.29)	0.0 (0.0)	0.13 (0.08)	0.7 (0.37)	0.4 (0.55)	0.15 (0.03)	0.64 (0.09)	0.0 (0.0)	0.17 (0.04)	0.76 (0.15)	0.0 (0.0)	0.15 (0.03)	0.64 (0.09)	0.0 (0.0)
VirusPseAAC	embedding_proba__6	12.05 (0.29)	0.6 (0.0)	0.0 (0.0)	9.95 (0.28)	0.6 (0.0)	0.0 (0.0)	2.1 (0.04)	0.6 (0.0)	0.0 (0.0)	0.07 (0.03)	0.27 (0.13)	0.0 (0.0)	0.08 (0.03)	0.32 (0.19)	0.0 (0.0)	0.14 (0.03)	0.28 (0.15)	0.0 (0.0)	0.09 (0.03)	0.32 (0.19)	0.0 (0.0)	0.12 (0.02)	0.28 (0.13)	0.0 (0.0)	0.04 (0.02)	0.32 (0.19)	0.0 (0.0)	0.08 (0.02)	0.28 (0.15)	0.0 (0.0)	0.09 (0.03)	0.3 (0.16)	0.0 (0.0)	0.07 (0.01)	0.28 (0.13)	0.0 (0.0)	0.16 (0.09)	0.34 (0.32)	0.0 (0.0)	0.38 (0.13)	0.33 (0.28)	0.0 (0.0)	0.1 (0.03)	0.3 (0.19)	0.0 (0.0)	0.29 (0.11)	0.38 (0.36)	0.2 (0.45)	0.06 (0.03)	0.35 (0.23)	0.0 (0.0)	0.09 (0.02)	0.3 (0.17)	0.0 (0.0)	0.09 (0.02)	0.26 (0.11)	0.0 (0.0)	0.09 (0.02)	0.3 (0.17)	0.0 (0.0)
VirusPseAAC	embedding_proba__7	14.11 (0.29)	0.7 (0.0)	0.0 (0.0)	11.67 (0.28)	0.7 (0.0)	0.0 (0.0)	2.45 (0.08)	0.7 (0.0)	0.0 (0.0)	0.1 (0.03)	0.5 (0.28)	0.0 (0.0)	0.11 (0.07)	0.46 (0.23)	0.0 (0.0)	0.16 (0.06)	0.45 (0.26)	0.0 (0.0)	0.11 (0.04)	0.4 (0.21)	0.0 (0.0)	0.15 (0.05)	0.5 (0.3)	0.0 (0.0)	0.07 (0.05)	0.46 (0.23)	0.0 (0.0)	0.09 (0.03)	0.45 (0.26)	0.0 (0.0)	0.1 (0.04)	0.46 (0.26)	0.0 (0.0)	0.09 (0.04)	0.46 (0.3)	0.0 (0.0)	0.24 (0.09)	0.65 (0.22)	0.0 (0.0)	0.49 (0.12)	0.51 (0.33)	0.2 (0.45)	0.11 (0.04)	0.4 (0.21)	0.0 (0.0)	0.4 (0.1)	0.68 (0.3)	0.0 (0.0)	0.08 (0.05)	0.4 (0.2)	0.0 (0.0)	0.1 (0.04)	0.41 (0.23)	0.0 (0.0)	0.1 (0.04)	0.42 (0.25)	0.0 (0.0)	0.1 (0.04)	0.41 (0.23)	0.0 (0.0)
VirusPseAAC	embedding_proba__8	15.87 (0.33)	0.8 (0.0)	0.0 (0.0)	13.04 (0.27)	0.8 (0.0)	0.0 (0.0)	2.84 (0.07)	0.8 (0.0)	0.0 (0.0)	0.1 (0.01)	0.5 (0.0)	0.0 (0.0)	0.13 (0.06)	0.6 (0.31)	0.0 (0.0)	0.17 (0.03)	0.46 (0.09)	0.0 (0.0)	0.12 (0.02)	0.4 (0.1)	0.0 (0.0)	0.15 (0.03)	0.44 (0.09)	0.0 (0.0)	0.08 (0.04)	0.58 (0.29)	0.0 (0.0)	0.09 (0.02)	0.46 (0.09)	0.0 (0.0)	0.11 (0.02)	0.4 (0.07)	0.0 (0.0)	0.09 (0.02)	0.46 (0.11)	0.0 (0.0)	0.24 (0.13)	0.64 (0.35)	0.4 (0.55)	0.5 (0.11)	0.62 (0.26)	0.2 (0.45)	0.12 (0.03)	0.4 (0.1)	0.0 (0.0)	0.34 (0.14)	0.54 (0.38)	0.2 (0.45)	0.09 (0.04)	0.54 (0.3)	0.0 (0.0)	0.1 (0.02)	0.35 (0.05)	0.0 (0.0)	0.12 (0.02)	0.44 (0.11)	0.0 (0.0)	0.1 (0.02)	0.35 (0.05)	0.0 (0.0)
VirusPseAAC	embedding_proba__9	17.79 (0.58)	0.9 (0.0)	0.0 (0.0)	14.72 (0.44)	0.9 (0.0)	0.0 (0.0)	3.07 (0.17)	0.9 (0.0)	0.0 (0.0)	0.06 (0.05)	0.34 (0.33)	0.0 (0.0)	0.08 (0.07)	0.36 (0.26)	0.0 (0.0)	0.11 (0.08)	0.28 (0.25)	0.0 (0.0)	0.07 (0.06)	0.3 (0.29)	0.0 (0.0)	0.09 (0.06)	0.28 (0.25)	0.0 (0.0)	0.06 (0.05)	0.4 (0.33)	0.0 (0.0)	0.06 (0.04)	0.28 (0.25)	0.0 (0.0)	0.07 (0.05)	0.3 (0.29)	0.0 (0.0)	0.05 (0.04)	0.28 (0.25)	0.0 (0.0)	0.17 (0.12)	0.44 (0.32)	0.0 (0.0)	0.39 (0.24)	0.54 (0.3)	0.0 (0.0)	0.07 (0.05)	0.28 (0.25)	0.0 (0.0)	0.27 (0.17)	0.42 (0.26)	0.0 (0.0)	0.08 (0.08)	0.4 (0.33)	0.0 (0.0)	0.06 (0.05)	0.28 (0.25)	0.0 (0.0)	0.07 (0.06)	0.3 (0.29)	0.0 (0.0)	0.06 (0.05)	0.28 (0.25)	0.0 (0.0)
all_datasets	embedding_proba__1	0.1 (0.0)	0.1 (0.0)	0.0 (0.0)	0.1 (0.0)	0.1 (0.0)	0.0 (0.0)	0.1 (0.0)	0.1 (0.0)	0.0 (0.0)	0.54 (0.14)	0.62 (0.39)	0.25 (0.5)	0.57 (0.06)	0.6 (0.28)	0.0 (0.0)	0.6 (0.17)	0.73 (0.43)	0.5 (0.58)	0.59 (0.17)	0.62 (0.39)	0.25 (0.5)	0.6 (0.15)	0.73 (0.43)	0.5 (0.58)	0.57 (0.09)	0.52 (0.38)	0.25 (0.5)	0.6 (0.17)	0.73 (0.43)	0.5 (0.58)	0.58 (0.16)	0.66 (0.42)	0.25 (0.5)	0.6 (0.17)	0.71 (0.42)	0.25 (0.5)	0.56 (0.04)	0.51 (0.18)	0.0 (0.0)	0.57 (0.1)	0.7 (0.35)	0.25 (0.5)	0.58 (0.16)	0.66 (0.39)	0.25 (0.5)	0.56 (0.07)	0.59 (0.29)	0.0 (0.0)	0.57 (0.09)	0.54 (0.35)	0.0 (0.0)	0.6 (0.19)	0.65 (0.39)	0.25 (0.5)	0.57 (0.17)	0.55 (0.37)	0.25 (0.5)	0.6 (0.19)	0.65 (0.39)	0.25 (0.5)
all_datasets	embedding_proba__10	1.0 (0.0)	1.0 (0.0)	1.0 (0.0)	1.0 (0.0)	1.0 (0.0)	1.0 (0.0)	1.0 (0.0)	1.0 (0.0)	1.0 (0.0)	0.45 (0.11)	0.35 (0.3)	0.0 (0.0)	0.46 (0.08)	0.31 (0.24)	0.0 (0.0)	0.43 (0.14)	0.32 (0.39)	0.0 (0.0)	0.44 (0.15)	0.34 (0.38)	0.0 (0.0)	0.43 (0.15)	0.3 (0.4)	0.0 (0.0)	0.44 (0.07)	0.2 (0.12)	0.0 (0.0)	0.43 (0.14)	0.32 (0.39)	0.0 (0.0)	0.46 (0.13)	0.38 (0.36)	0.0 (0.0)	0.43 (0.13)	0.28 (0.29)	0.0 (0.0)	0.51 (0.14)	0.46 (0.42)	0.0 (0.0)	0.47 (0.1)	0.3 (0.34)	0.0 (0.0)	0.44 (0.15)	0.34 (0.38)	0.0 (0.0)	0.5 (0.09)	0.32 (0.29)	0.0 (0.0)	0.44 (0.08)	0.2 (0.14)	0.0 (0.0)	0.42 (0.12)	0.29 (0.34)	0.0 (0.0)	0.46 (0.13)	0.4 (0.33)	0.0 (0.0)	0.42 (0.12)	0.29 (0.34)	0.0 (0.0)
all_datasets	embedding_proba__2	0.2 (0.0)	0.2 (0.0)	0.0 (0.0)	0.2 (0.0)	0.2 (0.0)	0.0 (0.0)	0.2 (0.0)	0.2 (0.0)	0.0 (0.0)	0.65 (0.11)	0.8 (0.18)	0.25 (0.5)	0.62 (0.07)	0.81 (0.14)	0.25 (0.5)	0.62 (0.14)	0.65 (0.3)	0.0 (0.0)	0.6 (0.18)	0.57 (0.35)	0.25 (0.5)	0.62 (0.14)	0.59 (0.25)	0.0 (0.0)	0.62 (0.08)	0.78 (0.21)	0.25 (0.5)	0.62 (0.14)	0.64 (0.3)	0.0 (0.0)	0.6 (0.15)	0.54 (0.38)	0.25 (0.5)	0.62 (0.14)	0.59 (0.31)	0.0 (0.0)	0.52 (0.08)	0.45 (0.23)	0.0 (0.0)	0.59 (0.05)	0.71 (0.17)	0.0 (0.0)	0.61 (0.17)	0.55 (0.33)	0.25 (0.5)	0.6 (0.04)	0.72 (0.13)	0.0 (0.0)	0.63 (0.07)	0.86 (0.19)	0.5 (0.58)	0.62 (0.17)	0.57 (0.33)	0.25 (0.5)	0.58 (0.2)	0.46 (0.38)	0.25 (0.5)	0.62 (0.17)	0.57 (0.33)	0.25 (0.5)
all_datasets	embedding_proba__3	0.3 (0.0)	0.3 (0.0)	0.0 (0.0)	0.3 (0.0)	0.3 (0.0)	0.0 (0.0)	0.3 (0.0)	0.3 (0.0)	0.0 (0.0)	0.62 (0.09)	0.73 (0.15)	0.0 (0.0)	0.61 (0.06)	0.69 (0.28)	0.25 (0.5)	0.64 (0.13)	0.76 (0.19)	0.25 (0.5)	0.6 (0.12)	0.57 (0.23)	0.0 (0.0)	0.66 (0.12)	0.81 (0.12)	0.25 (0.5)	0.6 (0.04)	0.78 (0.16)	0.25 (0.5)	0.64 (0.13)	0.76 (0.19)	0.25 (0.5)	0.6 (0.12)	0.68 (0.17)	0.0 (0.0)	0.66 (0.12)	0.85 (0.12)	0.25 (0.5)	0.6 (0.07)	0.69 (0.32)	0.25 (0.5)	0.58 (0.08)	0.57 (0.31)	0.25 (0.5)	0.62 (0.15)	0.61 (0.31)	0.0 (0.0)	0.58 (0.06)	0.65 (0.25)	0.0 (0.0)	0.61 (0.06)	0.72 (0.21)	0.25 (0.5)	0.64 (0.13)	0.71 (0.18)	0.0 (0.0)	0.61 (0.12)	0.65 (0.21)	0.0 (0.0)	0.64 (0.13)	0.71 (0.18)	0.0 (0.0)
all_datasets	embedding_proba__4	0.4 (0.0)	0.4 (0.0)	0.0 (0.0)	0.4 (0.0)	0.4 (0.0)	0.0 (0.0)	0.4 (0.0)	0.4 (0.0)	0.0 (0.0)	0.55 (0.11)	0.44 (0.23)	0.0 (0.0)	0.56 (0.09)	0.64 (0.33)	0.25 (0.5)	0.59 (0.09)	0.55 (0.24)	0.0 (0.0)	0.62 (0.11)	0.65 (0.27)	0.0 (0.0)	0.59 (0.07)	0.61 (0.24)	0.0 (0.0)	0.58 (0.06)	0.64 (0.29)	0.0 (0.0)	0.59 (0.09)	0.55 (0.24)	0.0 (0.0)	0.6 (0.11)	0.62 (0.32)	0.0 (0.0)	0.57 (0.07)	0.5 (0.2)	0.0 (0.0)	0.52 (0.07)	0.41 (0.19)	0.0 (0.0)	0.55 (0.03)	0.51 (0.2)	0.0 (0.0)	0.6 (0.11)	0.59 (0.28)	0.0 (0.0)	0.52 (0.03)	0.4 (0.14)	0.0 (0.0)	0.57 (0.08)	0.55 (0.24)	0.0 (0.0)	0.6 (0.11)	0.6 (0.28)	0.0 (0.0)	0.59 (0.1)	0.55 (0.24)	0.0 (0.0)	0.6 (0.11)	0.6 (0.28)	0.0 (0.0)
all_datasets	embedding_proba__5	0.5 (0.0)	0.5 (0.0)	0.0 (0.0)	0.5 (0.0)	0.5 (0.0)	0.0 (0.0)	0.5 (0.0)	0.5 (0.0)	0.0 (0.0)	0.6 (0.2)	0.59 (0.43)	0.25 (0.5)	0.59 (0.07)	0.59 (0.33)	0.0 (0.0)	0.64 (0.08)	0.72 (0.25)	0.25 (0.5)	0.62 (0.12)	0.65 (0.29)	0.25 (0.5)	0.61 (0.05)	0.7 (0.23)	0.25 (0.5)	0.57 (0.08)	0.6 (0.35)	0.0 (0.0)	0.64 (0.08)	0.72 (0.25)	0.25 (0.5)	0.62 (0.13)	0.59 (0.35)	0.25 (0.5)	0.64 (0.08)	0.77 (0.25)	0.25 (0.5)	0.55 (0.06)	0.51 (0.22)	0.0 (0.0)	0.6 (0.08)	0.72 (0.32)	0.5 (0.58)	0.6 (0.14)	0.59 (0.37)	0.25 (0.5)	0.53 (0.05)	0.5 (0.26)	0.0 (0.0)	0.58 (0.08)	0.62 (0.29)	0.0 (0.0)	0.64 (0.08)	0.78 (0.26)	0.5 (0.58)	0.66 (0.11)	0.76 (0.29)	0.25 (0.5)	0.64 (0.08)	0.78 (0.26)	0.5 (0.58)
all_datasets	embedding_proba__6	0.6 (0.0)	0.6 (0.0)	0.0 (0.0)	0.6 (0.0)	0.6 (0.0)	0.0 (0.0)	0.61 (0.02)	0.6 (0.0)	0.0 (0.0)	0.53 (0.21)	0.45 (0.39)	0.25 (0.5)	0.51 (0.13)	0.51 (0.3)	0.0 (0.0)	0.48 (0.14)	0.45 (0.27)	0.0 (0.0)	0.49 (0.12)	0.5 (0.18)	0.0 (0.0)	0.47 (0.13)	0.4 (0.15)	0.0 (0.0)	0.51 (0.13)	0.5 (0.29)	0.0 (0.0)	0.48 (0.14)	0.45 (0.27)	0.0 (0.0)	0.5 (0.14)	0.52 (0.3)	0.0 (0.0)	0.48 (0.14)	0.5 (0.26)	0.0 (0.0)	0.47 (0.09)	0.3 (0.15)	0.0 (0.0)	0.48 (0.1)	0.29 (0.17)	0.0 (0.0)	0.49 (0.13)	0.51 (0.15)	0.0 (0.0)	0.48 (0.08)	0.28 (0.22)	0.0 (0.0)	0.54 (0.13)	0.62 (0.38)	0.0 (0.0)	0.5 (0.14)	0.5 (0.27)	0.0 (0.0)	0.5 (0.16)	0.6 (0.36)	0.0 (0.0)	0.5 (0.14)	0.5 (0.27)	0.0 (0.0)
all_datasets	embedding_proba__7	0.7 (0.0)	0.7 (0.0)	0.0 (0.0)	0.7 (0.0)	0.7 (0.0)	0.0 (0.0)	0.69 (0.02)	0.7 (0.0)	0.0 (0.0)	0.52 (0.04)	0.55 (0.18)	0.0 (0.0)	0.54 (0.05)	0.46 (0.11)	0.0 (0.0)	0.54 (0.06)	0.62 (0.19)	0.0 (0.0)	0.55 (0.11)	0.7 (0.22)	0.0 (0.0)	0.55 (0.06)	0.59 (0.31)	0.0 (0.0)	0.55 (0.07)	0.59 (0.28)	0.25 (0.5)	0.54 (0.06)	0.62 (0.19)	0.0 (0.0)	0.54 (0.07)	0.65 (0.17)	0.0 (0.0)	0.55 (0.07)	0.62 (0.22)	0.0 (0.0)	0.62 (0.02)	0.8 (0.14)	0.25 (0.5)	0.56 (0.04)	0.69 (0.24)	0.0 (0.0)	0.57 (0.13)	0.73 (0.23)	0.25 (0.5)	0.58 (0.07)	0.64 (0.34)	0.25 (0.5)	0.52 (0.09)	0.54 (0.24)	0.0 (0.0)	0.52 (0.09)	0.64 (0.29)	0.0 (0.0)	0.54 (0.11)	0.61 (0.35)	0.25 (0.5)	0.52 (0.09)	0.64 (0.29)	0.0 (0.0)
all_datasets	embedding_proba__8	0.8 (0.0)	0.8 (0.0)	0.0 (0.0)	0.8 (0.0)	0.8 (0.0)	0.0 (0.0)	0.81 (0.01)	0.8 (0.0)	0.0 (0.0)	0.54 (0.08)	0.45 (0.33)	0.0 (0.0)	0.55 (0.07)	0.44 (0.29)	0.0 (0.0)	0.49 (0.07)	0.38 (0.19)	0.0 (0.0)	0.48 (0.09)	0.41 (0.32)	0.0 (0.0)	0.5 (0.07)	0.44 (0.23)	0.0 (0.0)	0.54 (0.05)	0.44 (0.16)	0.0 (0.0)	0.49 (0.07)	0.39 (0.2)	0.0 (0.0)	0.5 (0.08)	0.43 (0.26)	0.0 (0.0)	0.49 (0.06)	0.35 (0.17)	0.0 (0.0)	0.62 (0.04)	0.81 (0.22)	0.25 (0.5)	0.59 (0.08)	0.59 (0.28)	0.0 (0.0)	0.51 (0.1)	0.48 (0.26)	0.0 (0.0)	0.61 (0.05)	0.85 (0.23)	0.25 (0.5)	0.54 (0.04)	0.46 (0.21)	0.0 (0.0)	0.47 (0.09)	0.32 (0.1)	0.0 (0.0)	0.48 (0.06)	0.38 (0.22)	0.0 (0.0)	0.47 (0.09)	0.32 (0.1)	0.0 (0.0)
all_datasets	embedding_proba__9	0.9 (0.0)	0.9 (0.0)	0.0 (0.0)	0.9 (0.0)	0.9 (0.0)	0.0 (0.0)	0.89 (0.01)	0.9 (0.0)	0.0 (0.0)	0.51 (0.11)	0.52 (0.17)	0.0 (0.0)	0.5 (0.11)	0.45 (0.4)	0.25 (0.5)	0.46 (0.12)	0.31 (0.09)	0.0 (0.0)	0.5 (0.14)	0.48 (0.33)	0.0 (0.0)	0.47 (0.13)	0.34 (0.1)	0.0 (0.0)	0.52 (0.1)	0.46 (0.34)	0.0 (0.0)	0.46 (0.12)	0.31 (0.09)	0.0 (0.0)	0.48 (0.13)	0.44 (0.22)	0.0 (0.0)	0.46 (0.12)	0.32 (0.09)	0.0 (0.0)	0.54 (0.15)	0.55 (0.47)	0.25 (0.5)	0.5 (0.1)	0.41 (0.28)	0.0 (0.0)	0.48 (0.14)	0.45 (0.27)	0.0 (0.0)	0.52 (0.09)	0.55 (0.38)	0.0 (0.0)	0.5 (0.08)	0.38 (0.26)	0.0 (0.0)	0.49 (0.14)	0.44 (0.25)	0.0 (0.0)	0.5 (0.13)	0.54 (0.2)	0.0 (0.0)	0.49 (0.14)	0.44 (0.25)	0.0 (0.0)
flags	embedding_proba__1	3.18 (0.07)	0.1 (0.0)	0.0 (0.0)	2.63 (0.08)	0.1 (0.0)	0.0 (0.0)	0.55 (0.02)	0.1 (0.0)	0.0 (0.0)	0.22 (0.05)	0.63 (0.3)	0.2 (0.45)	0.63 (0.03)	0.6 (0.23)	0.0 (0.0)	0.75 (0.03)	0.64 (0.3)	0.2 (0.45)	0.73 (0.04)	0.7 (0.33)	0.4 (0.55)	0.73 (0.03)	0.64 (0.29)	0.2 (0.45)	0.5 (0.03)	0.68 (0.19)	0.2 (0.45)	0.6 (0.03)	0.64 (0.3)	0.2 (0.45)	0.62 (0.04)	0.7 (0.31)	0.2 (0.45)	0.61 (0.04)	0.62 (0.3)	0.2 (0.45)	0.64 (0.04)	0.52 (0.26)	0.0 (0.0)	0.74 (0.02)	0.58 (0.29)	0.2 (0.45)	0.73 (0.04)	0.66 (0.29)	0.0 (0.0)	0.73 (0.03)	0.56 (0.3)	0.2 (0.45)	0.64 (0.03)	0.64 (0.24)	0.0 (0.0)	0.76 (0.03)	0.68 (0.26)	0.2 (0.45)	0.75 (0.04)	0.72 (0.33)	0.4 (0.55)	0.76 (0.03)	0.68 (0.26)	0.2 (0.45)
