dataset	estimator	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories	test_accuracy	test_accuracy_rank	test_accuracy_victories	test_f1_macro	test_f1_macro_rank	test_f1_macro_victories	test_f1_micro	test_f1_micro_rank	test_f1_micro_victories	test_f1_samples	test_f1_samples_rank	test_f1_samples_victories	test_f1_weighted	test_f1_weighted_rank	test_f1_weighted_victories	test_jaccard_macro	test_jaccard_macro_rank	test_jaccard_macro_victories	test_jaccard_micro	test_jaccard_micro_rank	test_jaccard_micro_victories	test_jaccard_samples	test_jaccard_samples_rank	test_jaccard_samples_victories	test_jaccard_weighted	test_jaccard_weighted_rank	test_jaccard_weighted_victories	test_precision_macro	test_precision_macro_rank	test_precision_macro_victories	test_precision_micro	test_precision_micro_rank	test_precision_micro_victories	test_precision_samples	test_precision_samples_rank	test_precision_samples_victories	test_precision_weighted	test_precision_weighted_rank	test_precision_weighted_victories	test_recall_macro	test_recall_macro_rank	test_recall_macro_victories	test_recall_micro	test_recall_micro_rank	test_recall_micro_victories	test_recall_samples	test_recall_samples_rank	test_recall_samples_victories	test_recall_weighted	test_recall_weighted_rank	test_recall_weighted_victories
genbase	embedding	33.18 (0.41)	0.75 (0.0)	0.0 (0.0)	29.65 (0.53)	0.75 (0.0)	0.0 (0.0)	3.53 (0.15)	0.9 (0.14)	0.6 (0.55)	0.9 (0.03)	0.55 (0.11)	0.0 (0.0)	0.89 (0.05)	0.5 (0.0)	0.0 (0.0)	0.94 (0.02)	0.55 (0.11)	0.0 (0.0)	0.92 (0.02)	0.45 (0.11)	0.0 (0.0)	0.94 (0.03)	0.45 (0.11)	0.0 (0.0)	0.84 (0.07)	0.5 (0.0)	0.0 (0.0)	0.9 (0.04)	0.55 (0.11)	0.0 (0.0)	0.91 (0.02)	0.48 (0.06)	0.0 (0.0)	0.9 (0.04)	0.45 (0.11)	0.0 (0.0)	1.0 (0.0)	0.9 (0.06)	0.2 (0.45)	1.0 (0.0)	0.9 (0.06)	0.2 (0.45)	0.93 (0.02)	0.5 (0.0)	0.0 (0.0)	1.0 (0.0)	0.9 (0.06)	0.2 (0.45)	0.84 (0.07)	0.25 (0.0)	0.0 (0.0)	0.9 (0.04)	0.35 (0.14)	0.0 (0.0)	0.91 (0.02)	0.4 (0.14)	0.0 (0.0)	0.9 (0.04)	0.35 (0.14)	0.0 (0.0)
genbase	embedding_weak	40.88 (0.61)	1.0 (0.0)	1.0 (0.0)	37.4 (0.81)	1.0 (0.0)	1.0 (0.0)	3.48 (0.2)	0.85 (0.14)	0.4 (0.55)	0.83 (0.02)	0.25 (0.0)	0.0 (0.0)	0.87 (0.04)	0.25 (0.0)	0.0 (0.0)	0.92 (0.02)	0.25 (0.0)	0.0 (0.0)	0.89 (0.03)	0.3 (0.11)	0.0 (0.0)	0.92 (0.03)	0.3 (0.11)	0.0 (0.0)	0.8 (0.05)	0.25 (0.0)	0.0 (0.0)	0.84 (0.03)	0.25 (0.0)	0.0 (0.0)	0.87 (0.02)	0.28 (0.06)	0.0 (0.0)	0.88 (0.04)	0.3 (0.11)	0.0 (0.0)	0.9 (0.03)	0.25 (0.0)	0.0 (0.0)	0.92 (0.04)	0.3 (0.11)	0.0 (0.0)	0.88 (0.02)	0.25 (0.0)	0.0 (0.0)	0.96 (0.02)	0.25 (0.0)	0.0 (0.0)	0.89 (0.09)	0.55 (0.11)	0.0 (0.0)	0.91 (0.05)	0.4 (0.14)	0.0 (0.0)	0.92 (0.04)	0.35 (0.14)	0.0 (0.0)	0.91 (0.05)	0.4 (0.14)	0.0 (0.0)
genbase	proba	11.89 (0.25)	0.25 (0.0)	0.0 (0.0)	9.95 (0.16)	0.25 (0.0)	0.0 (0.0)	1.95 (0.1)	0.35 (0.14)	0.0 (0.0)	0.98 (0.01)	1.0 (0.0)	1.0 (0.0)	0.98 (0.02)	1.0 (0.0)	1.0 (0.0)	0.99 (0.01)	1.0 (0.0)	1.0 (0.0)	0.99 (0.01)	1.0 (0.0)	1.0 (0.0)	0.99 (0.01)	1.0 (0.0)	1.0 (0.0)	0.97 (0.03)	1.0 (0.0)	1.0 (0.0)	0.98 (0.02)	1.0 (0.0)	1.0 (0.0)	0.99 (0.01)	1.0 (0.0)	1.0 (0.0)	0.98 (0.02)	1.0 (0.0)	1.0 (0.0)	1.0 (0.01)	0.85 (0.06)	0.0 (0.0)	1.0 (0.0)	0.85 (0.06)	0.0 (0.0)	0.99 (0.01)	1.0 (0.0)	1.0 (0.0)	1.0 (0.0)	0.85 (0.06)	0.0 (0.0)	0.97 (0.03)	0.88 (0.12)	0.4 (0.55)	0.98 (0.02)	0.88 (0.12)	0.4 (0.55)	0.99 (0.01)	0.88 (0.12)	0.4 (0.55)	0.98 (0.02)	0.88 (0.12)	0.4 (0.55)
genbase	proba_weak	22.12 (0.4)	0.5 (0.0)	0.0 (0.0)	20.18 (0.3)	0.5 (0.0)	0.0 (0.0)	1.94 (0.09)	0.4 (0.14)	0.0 (0.0)	0.92 (0.02)	0.7 (0.11)	0.0 (0.0)	0.95 (0.02)	0.75 (0.0)	0.0 (0.0)	0.97 (0.01)	0.7 (0.11)	0.0 (0.0)	0.97 (0.01)	0.75 (0.0)	0.0 (0.0)	0.98 (0.01)	0.75 (0.0)	0.0 (0.0)	0.92 (0.02)	0.75 (0.0)	0.0 (0.0)	0.93 (0.02)	0.7 (0.11)	0.0 (0.0)	0.96 (0.01)	0.75 (0.0)	0.0 (0.0)	0.96 (0.02)	0.75 (0.0)	0.0 (0.0)	0.94 (0.02)	0.5 (0.0)	0.0 (0.0)	0.95 (0.01)	0.45 (0.11)	0.0 (0.0)	0.96 (0.01)	0.75 (0.0)	0.0 (0.0)	0.98 (0.01)	0.5 (0.0)	0.0 (0.0)	0.98 (0.02)	0.82 (0.21)	0.4 (0.55)	0.98 (0.01)	0.88 (0.12)	0.4 (0.55)	0.99 (0.01)	0.88 (0.12)	0.4 (0.55)	0.98 (0.01)	0.88 (0.12)	0.4 (0.55)
medical	embedding	63.79 (1.01)	0.75 (0.0)	0.0 (0.0)	59.18 (1.28)	0.75 (0.0)	0.0 (0.0)	4.61 (0.28)	0.9 (0.14)	0.6 (0.55)	0.45 (0.03)	0.95 (0.11)	0.8 (0.45)	0.31 (0.04)	0.25 (0.0)	0.0 (0.0)	0.61 (0.03)	0.7 (0.27)	0.2 (0.45)	0.46 (0.03)	0.45 (0.21)	0.0 (0.0)	0.53 (0.04)	0.3 (0.11)	0.0 (0.0)	0.23 (0.03)	0.25 (0.0)	0.0 (0.0)	0.44 (0.03)	0.7 (0.27)	0.2 (0.45)	0.45 (0.03)	0.65 (0.29)	0.2 (0.45)	0.42 (0.03)	0.4 (0.14)	0.0 (0.0)	0.55 (0.07)	0.8 (0.21)	0.4 (0.55)	0.87 (0.02)	0.85 (0.14)	0.4 (0.55)	0.48 (0.03)	0.7 (0.21)	0.2 (0.45)	0.76 (0.04)	0.85 (0.22)	0.6 (0.55)	0.24 (0.03)	0.3 (0.11)	0.0 (0.0)	0.46 (0.03)	0.4 (0.14)	0.0 (0.0)	0.45 (0.03)	0.4 (0.14)	0.0 (0.0)	0.46 (0.03)	0.4 (0.14)	0.0 (0.0)
medical	embedding_weak	74.07 (1.44)	1.0 (0.0)	1.0 (0.0)	69.64 (1.56)	1.0 (0.0)	1.0 (0.0)	4.43 (0.19)	0.85 (0.14)	0.4 (0.55)	0.32 (0.03)	0.45 (0.11)	0.0 (0.0)	0.44 (0.04)	0.85 (0.14)	0.4 (0.55)	0.6 (0.02)	0.75 (0.25)	0.4 (0.55)	0.51 (0.03)	0.8 (0.21)	0.4 (0.55)	0.63 (0.03)	0.9 (0.14)	0.6 (0.55)	0.32 (0.03)	0.9 (0.14)	0.6 (0.55)	0.42 (0.02)	0.75 (0.25)	0.4 (0.55)	0.45 (0.02)	0.65 (0.22)	0.2 (0.45)	0.51 (0.02)	0.95 (0.11)	0.8 (0.45)	0.49 (0.01)	0.5 (0.25)	0.0 (0.0)	0.57 (0.01)	0.5 (0.0)	0.0 (0.0)	0.47 (0.02)	0.45 (0.33)	0.2 (0.45)	0.7 (0.02)	0.65 (0.14)	0.0 (0.0)	0.48 (0.07)	0.75 (0.0)	0.0 (0.0)	0.63 (0.05)	0.8 (0.11)	0.2 (0.45)	0.61 (0.04)	0.85 (0.14)	0.4 (0.55)	0.63 (0.05)	0.8 (0.11)	0.2 (0.45)
medical	proba	10.65 (0.06)	0.25 (0.0)	0.0 (0.0)	8.5 (0.08)	0.25 (0.0)	0.0 (0.0)	2.15 (0.09)	0.4 (0.14)	0.0 (0.0)	0.43 (0.05)	0.8 (0.11)	0.2 (0.45)	0.37 (0.05)	0.5 (0.0)	0.0 (0.0)	0.6 (0.05)	0.6 (0.38)	0.4 (0.55)	0.45 (0.05)	0.4 (0.22)	0.0 (0.0)	0.55 (0.05)	0.45 (0.11)	0.0 (0.0)	0.28 (0.04)	0.5 (0.0)	0.0 (0.0)	0.43 (0.05)	0.6 (0.38)	0.4 (0.55)	0.44 (0.06)	0.55 (0.41)	0.4 (0.55)	0.42 (0.05)	0.35 (0.14)	0.0 (0.0)	0.59 (0.1)	0.8 (0.33)	0.6 (0.55)	0.88 (0.04)	0.9 (0.14)	0.6 (0.55)	0.48 (0.05)	0.7 (0.33)	0.4 (0.55)	0.76 (0.08)	0.75 (0.25)	0.4 (0.55)	0.29 (0.04)	0.45 (0.11)	0.0 (0.0)	0.45 (0.05)	0.35 (0.14)	0.0 (0.0)	0.44 (0.05)	0.35 (0.14)	0.0 (0.0)	0.45 (0.05)	0.35 (0.14)	0.0 (0.0)
medical	proba_weak	21.86 (0.17)	0.5 (0.0)	0.0 (0.0)	19.75 (0.2)	0.5 (0.0)	0.0 (0.0)	2.11 (0.08)	0.35 (0.14)	0.0 (0.0)	0.28 (0.05)	0.3 (0.11)	0.0 (0.0)	0.46 (0.03)	0.9 (0.14)	0.6 (0.55)	0.57 (0.03)	0.45 (0.21)	0.0 (0.0)	0.51 (0.04)	0.85 (0.22)	0.6 (0.55)	0.63 (0.02)	0.85 (0.14)	0.4 (0.55)	0.33 (0.02)	0.85 (0.14)	0.4 (0.55)	0.4 (0.03)	0.45 (0.21)	0.0 (0.0)	0.44 (0.04)	0.65 (0.29)	0.2 (0.45)	0.49 (0.02)	0.8 (0.11)	0.2 (0.45)	0.46 (0.04)	0.4 (0.14)	0.0 (0.0)	0.5 (0.03)	0.25 (0.0)	0.0 (0.0)	0.46 (0.04)	0.65 (0.29)	0.2 (0.45)	0.66 (0.03)	0.25 (0.0)	0.0 (0.0)	0.59 (0.04)	1.0 (0.0)	1.0 (0.0)	0.67 (0.03)	0.95 (0.11)	0.8 (0.45)	0.65 (0.04)	0.9 (0.14)	0.6 (0.55)	0.67 (0.03)	0.95 (0.11)	0.8 (0.45)
rcv1subset1	embedding	2603.72 (8.66)	0.75 (0.0)	0.0 (0.0)	2214.57 (11.85)	0.8 (0.11)	0.2 (0.45)	389.15 (10.31)	0.9 (0.14)	0.6 (0.55)	0.01 (0.0)	0.25 (0.0)	0.0 (0.0)	0.02 (0.0)	0.25 (0.0)	0.0 (0.0)	0.05 (0.0)	0.25 (0.0)	0.0 (0.0)	0.04 (0.0)	0.25 (0.0)	0.0 (0.0)	0.05 (0.0)	0.25 (0.0)	0.0 (0.0)	0.01 (0.0)	0.25 (0.0)	0.0 (0.0)	0.03 (0.0)	0.25 (0.0)	0.0 (0.0)	0.03 (0.0)	0.25 (0.0)	0.0 (0.0)	0.03 (0.0)	0.25 (0.0)	0.0 (0.0)	0.16 (0.01)	0.4 (0.14)	0.0 (0.0)	0.76 (0.06)	0.95 (0.11)	0.8 (0.45)	0.05 (0.0)	0.25 (0.0)	0.0 (0.0)	0.35 (0.04)	0.45 (0.11)	0.0 (0.0)	0.01 (0.0)	0.25 (0.0)	0.0 (0.0)	0.03 (0.0)	0.25 (0.0)	0.0 (0.0)	0.03 (0.0)	0.25 (0.0)	0.0 (0.0)	0.03 (0.0)	0.25 (0.0)	0.0 (0.0)
rcv1subset1	embedding_weak	2669.23 (36.94)	1.0 (0.0)	1.0 (0.0)	2279.46 (40.63)	0.95 (0.11)	0.8 (0.45)	389.77 (9.53)	0.85 (0.14)	0.4 (0.55)	0.01 (0.0)	0.5 (0.0)	0.0 (0.0)	0.03 (0.0)	0.5 (0.0)	0.0 (0.0)	0.08 (0.01)	0.5 (0.0)	0.0 (0.0)	0.05 (0.01)	0.5 (0.0)	0.0 (0.0)	0.07 (0.01)	0.5 (0.0)	0.0 (0.0)	0.02 (0.0)	0.5 (0.0)	0.0 (0.0)	0.04 (0.01)	0.5 (0.0)	0.0 (0.0)	0.04 (0.01)	0.5 (0.0)	0.0 (0.0)	0.04 (0.01)	0.5 (0.0)	0.0 (0.0)	0.15 (0.02)	0.35 (0.14)	0.0 (0.0)	0.7 (0.04)	0.8 (0.11)	0.2 (0.45)	0.07 (0.01)	0.5 (0.0)	0.0 (0.0)	0.32 (0.04)	0.3 (0.11)	0.0 (0.0)	0.02 (0.0)	0.5 (0.0)	0.0 (0.0)	0.04 (0.01)	0.5 (0.0)	0.0 (0.0)	0.04 (0.01)	0.5 (0.0)	0.0 (0.0)	0.04 (0.01)	0.5 (0.0)	0.0 (0.0)
rcv1subset1	proba	103.81 (4.35)	0.25 (0.0)	0.0 (0.0)	90.96 (4.55)	0.25 (0.0)	0.0 (0.0)	12.86 (0.25)	0.4 (0.14)	0.0 (0.0)	0.05 (0.01)	0.95 (0.11)	0.8 (0.45)	0.07 (0.01)	0.75 (0.0)	0.0 (0.0)	0.21 (0.01)	0.95 (0.11)	0.8 (0.45)	0.17 (0.01)	0.85 (0.14)	0.4 (0.55)	0.18 (0.01)	0.75 (0.0)	0.0 (0.0)	0.04 (0.0)	0.75 (0.0)	0.0 (0.0)	0.12 (0.01)	0.95 (0.11)	0.8 (0.45)	0.13 (0.01)	0.9 (0.14)	0.6 (0.55)	0.11 (0.01)	0.75 (0.0)	0.0 (0.0)	0.2 (0.02)	0.85 (0.14)	0.4 (0.55)	0.61 (0.02)	0.5 (0.0)	0.0 (0.0)	0.25 (0.01)	1.0 (0.0)	1.0 (0.0)	0.41 (0.02)	0.85 (0.14)	0.4 (0.55)	0.04 (0.0)	0.75 (0.0)	0.0 (0.0)	0.13 (0.01)	0.75 (0.0)	0.0 (0.0)	0.14 (0.01)	0.75 (0.0)	0.0 (0.0)	0.13 (0.01)	0.75 (0.0)	0.0 (0.0)
rcv1subset1	proba_weak	328.85 (47.31)	0.5 (0.0)	0.0 (0.0)	315.94 (47.2)	0.5 (0.0)	0.0 (0.0)	12.9 (0.59)	0.35 (0.14)	0.0 (0.0)	0.04 (0.0)	0.8 (0.11)	0.2 (0.45)	0.12 (0.01)	1.0 (0.0)	1.0 (0.0)	0.19 (0.01)	0.8 (0.11)	0.2 (0.45)	0.17 (0.0)	0.9 (0.14)	0.6 (0.55)	0.23 (0.01)	1.0 (0.0)	1.0 (0.0)	0.07 (0.0)	1.0 (0.0)	1.0 (0.0)	0.11 (0.0)	0.8 (0.11)	0.2 (0.45)	0.13 (0.0)	0.85 (0.14)	0.4 (0.55)	0.14 (0.01)	1.0 (0.0)	1.0 (0.0)	0.21 (0.01)	0.9 (0.14)	0.6 (0.55)	0.18 (0.01)	0.25 (0.0)	0.0 (0.0)	0.21 (0.01)	0.75 (0.0)	0.0 (0.0)	0.41 (0.01)	0.9 (0.14)	0.6 (0.55)	0.17 (0.01)	1.0 (0.0)	1.0 (0.0)	0.2 (0.01)	1.0 (0.0)	1.0 (0.0)	0.19 (0.01)	1.0 (0.0)	1.0 (0.0)	0.2 (0.01)	1.0 (0.0)	1.0 (0.0)
rcv1subset3	embedding	2412.78 (288.09)	0.8 (0.11)	0.2 (0.45)	2052.42 (265.98)	0.8 (0.11)	0.2 (0.45)	360.35 (35.01)	0.9 (0.14)	0.6 (0.55)	0.04 (0.01)	0.25 (0.0)	0.0 (0.0)	0.02 (0.01)	0.3 (0.11)	0.0 (0.0)	0.06 (0.01)	0.25 (0.0)	0.0 (0.0)	0.05 (0.01)	0.25 (0.0)	0.0 (0.0)	0.06 (0.01)	0.25 (0.0)	0.0 (0.0)	0.01 (0.0)	0.3 (0.11)	0.0 (0.0)	0.03 (0.01)	0.25 (0.0)	0.0 (0.0)	0.05 (0.01)	0.25 (0.0)	0.0 (0.0)	0.03 (0.01)	0.25 (0.0)	0.0 (0.0)	0.16 (0.04)	0.55 (0.33)	0.2 (0.45)	0.82 (0.06)	0.9 (0.14)	0.6 (0.55)	0.06 (0.01)	0.25 (0.0)	0.0 (0.0)	0.38 (0.05)	0.6 (0.34)	0.2 (0.45)	0.01 (0.0)	0.3 (0.11)	0.0 (0.0)	0.03 (0.01)	0.25 (0.0)	0.0 (0.0)	0.05 (0.01)	0.25 (0.0)	0.0 (0.0)	0.03 (0.01)	0.25 (0.0)	0.0 (0.0)
rcv1subset3	embedding_weak	2560.25 (126.8)	0.95 (0.11)	0.8 (0.45)	2195.98 (89.05)	0.95 (0.11)	0.8 (0.45)	364.27 (46.1)	0.85 (0.14)	0.4 (0.55)	0.06 (0.01)	0.5 (0.0)	0.0 (0.0)	0.03 (0.01)	0.45 (0.11)	0.0 (0.0)	0.09 (0.01)	0.5 (0.0)	0.0 (0.0)	0.07 (0.0)	0.5 (0.0)	0.0 (0.0)	0.08 (0.01)	0.5 (0.0)	0.0 (0.0)	0.02 (0.01)	0.45 (0.11)	0.0 (0.0)	0.05 (0.0)	0.5 (0.0)	0.0 (0.0)	0.07 (0.0)	0.5 (0.0)	0.0 (0.0)	0.05 (0.0)	0.5 (0.0)	0.0 (0.0)	0.17 (0.03)	0.5 (0.25)	0.0 (0.0)	0.8 (0.05)	0.85 (0.14)	0.4 (0.55)	0.08 (0.01)	0.5 (0.0)	0.0 (0.0)	0.4 (0.03)	0.6 (0.34)	0.2 (0.45)	0.02 (0.01)	0.45 (0.11)	0.0 (0.0)	0.05 (0.0)	0.5 (0.0)	0.0 (0.0)	0.07 (0.0)	0.5 (0.0)	0.0 (0.0)	0.05 (0.0)	0.5 (0.0)	0.0 (0.0)
rcv1subset3	proba	98.26 (6.88)	0.25 (0.0)	0.0 (0.0)	86.45 (7.93)	0.25 (0.0)	0.0 (0.0)	11.81 (2.16)	0.35 (0.14)	0.0 (0.0)	0.11 (0.0)	0.9 (0.14)	0.6 (0.55)	0.06 (0.01)	0.75 (0.0)	0.0 (0.0)	0.22 (0.02)	1.0 (0.0)	1.0 (0.0)	0.2 (0.01)	1.0 (0.0)	1.0 (0.0)	0.19 (0.01)	0.75 (0.0)	0.0 (0.0)	0.03 (0.01)	0.75 (0.0)	0.0 (0.0)	0.13 (0.01)	1.0 (0.0)	1.0 (0.0)	0.17 (0.01)	1.0 (0.0)	1.0 (0.0)	0.12 (0.01)	0.75 (0.0)	0.0 (0.0)	0.2 (0.04)	0.8 (0.33)	0.6 (0.55)	0.62 (0.02)	0.5 (0.0)	0.0 (0.0)	0.27 (0.02)	1.0 (0.0)	1.0 (0.0)	0.41 (0.05)	0.8 (0.33)	0.6 (0.55)	0.04 (0.01)	0.75 (0.0)	0.0 (0.0)	0.14 (0.01)	0.75 (0.0)	0.0 (0.0)	0.18 (0.01)	0.75 (0.0)	0.0 (0.0)	0.14 (0.01)	0.75 (0.0)	0.0 (0.0)
rcv1subset3	proba_weak	309.71 (37.44)	0.5 (0.0)	0.0 (0.0)	297.58 (37.78)	0.5 (0.0)	0.0 (0.0)	12.13 (1.45)	0.4 (0.14)	0.0 (0.0)	0.1 (0.02)	0.85 (0.14)	0.4 (0.55)	0.1 (0.01)	1.0 (0.0)	1.0 (0.0)	0.18 (0.01)	0.75 (0.0)	0.0 (0.0)	0.18 (0.01)	0.75 (0.0)	0.0 (0.0)	0.22 (0.01)	1.0 (0.0)	1.0 (0.0)	0.06 (0.0)	1.0 (0.0)	1.0 (0.0)	0.1 (0.0)	0.75 (0.0)	0.0 (0.0)	0.16 (0.01)	0.75 (0.0)	0.0 (0.0)	0.14 (0.01)	1.0 (0.0)	1.0 (0.0)	0.17 (0.01)	0.65 (0.22)	0.2 (0.45)	0.17 (0.02)	0.25 (0.0)	0.0 (0.0)	0.21 (0.02)	0.75 (0.0)	0.0 (0.0)	0.39 (0.01)	0.5 (0.0)	0.0 (0.0)	0.15 (0.03)	1.0 (0.0)	1.0 (0.0)	0.19 (0.01)	1.0 (0.0)	1.0 (0.0)	0.21 (0.01)	1.0 (0.0)	1.0 (0.0)	0.19 (0.01)	1.0 (0.0)	1.0 (0.0)
rcv1subset4	embedding	2560.8 (13.74)	0.75 (0.0)	0.0 (0.0)	2168.36 (20.49)	0.8 (0.11)	0.2 (0.45)	392.44 (7.91)	0.85 (0.14)	0.4 (0.55)	0.07 (0.01)	0.25 (0.0)	0.0 (0.0)	0.03 (0.01)	0.4 (0.14)	0.0 (0.0)	0.08 (0.02)	0.25 (0.0)	0.0 (0.0)	0.08 (0.01)	0.25 (0.0)	0.0 (0.0)	0.08 (0.01)	0.25 (0.0)	0.0 (0.0)	0.02 (0.01)	0.4 (0.14)	0.0 (0.0)	0.04 (0.01)	0.25 (0.0)	0.0 (0.0)	0.08 (0.01)	0.25 (0.0)	0.0 (0.0)	0.04 (0.01)	0.25 (0.0)	0.0 (0.0)	0.19 (0.08)	0.6 (0.34)	0.2 (0.45)	0.84 (0.08)	0.85 (0.14)	0.4 (0.55)	0.09 (0.02)	0.25 (0.0)	0.0 (0.0)	0.44 (0.11)	0.6 (0.38)	0.4 (0.55)	0.02 (0.01)	0.4 (0.14)	0.0 (0.0)	0.04 (0.01)	0.25 (0.0)	0.0 (0.0)	0.08 (0.01)	0.25 (0.0)	0.0 (0.0)	0.04 (0.01)	0.25 (0.0)	0.0 (0.0)
rcv1subset4	embedding_weak	2607.28 (27.62)	1.0 (0.0)	1.0 (0.0)	2217.98 (36.1)	0.95 (0.11)	0.8 (0.45)	389.3 (9.19)	0.9 (0.14)	0.6 (0.55)	0.08 (0.01)	0.5 (0.0)	0.0 (0.0)	0.03 (0.0)	0.35 (0.14)	0.0 (0.0)	0.11 (0.01)	0.5 (0.0)	0.0 (0.0)	0.1 (0.01)	0.5 (0.0)	0.0 (0.0)	0.1 (0.01)	0.5 (0.0)	0.0 (0.0)	0.02 (0.0)	0.35 (0.14)	0.0 (0.0)	0.06 (0.0)	0.5 (0.0)	0.0 (0.0)	0.1 (0.01)	0.5 (0.0)	0.0 (0.0)	0.06 (0.0)	0.5 (0.0)	0.0 (0.0)	0.18 (0.02)	0.5 (0.25)	0.0 (0.0)	0.79 (0.05)	0.9 (0.14)	0.6 (0.55)	0.11 (0.01)	0.5 (0.0)	0.0 (0.0)	0.45 (0.04)	0.65 (0.29)	0.2 (0.45)	0.02 (0.0)	0.35 (0.14)	0.0 (0.0)	0.06 (0.0)	0.5 (0.0)	0.0 (0.0)	0.1 (0.01)	0.5 (0.0)	0.0 (0.0)	0.06 (0.0)	0.5 (0.0)	0.0 (0.0)
rcv1subset4	proba	104.07 (4.65)	0.25 (0.0)	0.0 (0.0)	90.59 (4.89)	0.25 (0.0)	0.0 (0.0)	13.48 (0.43)	0.45 (0.11)	0.0 (0.0)	0.14 (0.01)	0.9 (0.14)	0.6 (0.55)	0.07 (0.01)	0.75 (0.0)	0.0 (0.0)	0.26 (0.01)	1.0 (0.0)	1.0 (0.0)	0.23 (0.01)	1.0 (0.0)	1.0 (0.0)	0.22 (0.01)	0.75 (0.0)	0.0 (0.0)	0.04 (0.0)	0.75 (0.0)	0.0 (0.0)	0.15 (0.01)	1.0 (0.0)	1.0 (0.0)	0.2 (0.01)	1.0 (0.0)	1.0 (0.0)	0.14 (0.01)	0.8 (0.11)	0.2 (0.45)	0.23 (0.03)	0.9 (0.22)	0.8 (0.45)	0.65 (0.02)	0.5 (0.0)	0.0 (0.0)	0.31 (0.01)	1.0 (0.0)	1.0 (0.0)	0.47 (0.03)	0.8 (0.21)	0.4 (0.55)	0.05 (0.0)	0.75 (0.0)	0.0 (0.0)	0.16 (0.01)	0.75 (0.0)	0.0 (0.0)	0.21 (0.01)	0.75 (0.0)	0.0 (0.0)	0.16 (0.01)	0.75 (0.0)	0.0 (0.0)
rcv1subset4	proba_weak	319.38 (45.65)	0.5 (0.0)	0.0 (0.0)	306.53 (46.06)	0.5 (0.0)	0.0 (0.0)	12.85 (0.42)	0.3 (0.11)	0.0 (0.0)	0.13 (0.02)	0.85 (0.14)	0.4 (0.55)	0.11 (0.01)	1.0 (0.0)	1.0 (0.0)	0.17 (0.02)	0.75 (0.0)	0.0 (0.0)	0.21 (0.01)	0.75 (0.0)	0.0 (0.0)	0.25 (0.02)	1.0 (0.0)	1.0 (0.0)	0.06 (0.01)	1.0 (0.0)	1.0 (0.0)	0.09 (0.01)	0.75 (0.0)	0.0 (0.0)	0.19 (0.01)	0.75 (0.0)	0.0 (0.0)	0.16 (0.01)	0.95 (0.11)	0.8 (0.45)	0.17 (0.03)	0.5 (0.18)	0.0 (0.0)	0.14 (0.02)	0.25 (0.0)	0.0 (0.0)	0.25 (0.01)	0.75 (0.0)	0.0 (0.0)	0.42 (0.03)	0.45 (0.21)	0.0 (0.0)	0.19 (0.02)	1.0 (0.0)	1.0 (0.0)	0.23 (0.02)	1.0 (0.0)	1.0 (0.0)	0.24 (0.01)	1.0 (0.0)	1.0 (0.0)	0.23 (0.02)	1.0 (0.0)	1.0 (0.0)
rcv1subset5	embedding	2577.4 (12.83)	0.8 (0.11)	0.2 (0.45)	2185.99 (13.95)	0.8 (0.11)	0.2 (0.45)	391.41 (9.05)	0.85 (0.14)	0.4 (0.55)	0.05 (0.01)	0.3 (0.11)	0.0 (0.0)	0.02 (0.0)	0.25 (0.0)	0.0 (0.0)	0.06 (0.01)	0.25 (0.0)	0.0 (0.0)	0.06 (0.01)	0.25 (0.0)	0.0 (0.0)	0.06 (0.01)	0.25 (0.0)	0.0 (0.0)	0.01 (0.0)	0.25 (0.0)	0.0 (0.0)	0.03 (0.01)	0.25 (0.0)	0.0 (0.0)	0.05 (0.01)	0.25 (0.0)	0.0 (0.0)	0.03 (0.01)	0.25 (0.0)	0.0 (0.0)	0.12 (0.03)	0.3 (0.11)	0.0 (0.0)	0.75 (0.06)	0.9 (0.14)	0.6 (0.55)	0.07 (0.01)	0.25 (0.0)	0.0 (0.0)	0.38 (0.05)	0.5 (0.35)	0.2 (0.45)	0.01 (0.0)	0.25 (0.0)	0.0 (0.0)	0.03 (0.01)	0.25 (0.0)	0.0 (0.0)	0.05 (0.01)	0.25 (0.0)	0.0 (0.0)	0.03 (0.01)	0.25 (0.0)	0.0 (0.0)
